121,Mayiladuthurai ,M023,Mayiladuthurai,M678,Mayiladuthurai ,M023,IB,12.11.2020,IDIB000M023,12.11.2020,"18 / 11(Old),Mahadhana Street    MAYILADUTHURAI  NAGAPATTINAM DIST. 609001",04364226760,mayiladuthurai@indianbank.co.in,Coimbatore,Kumbakonam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Tiruvarur ,T046,Tiruvarur,T594,Tiruvarur ,T046,IB,12.11.2020,IDIB000T046,12.11.2020,"P B No 28, 194 A, Nethaji Road Tiruvarur 610 002 ",04366 225466,tiruvarur@indianbank.co.in,Coimbatore,Kumbakonam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Anna Nagar (Madurai) ,T091,Madurai Anna Nagar,M531,Anna Nagar (Madurai) ,T091,IB,09.11.2020,IDIB000T091,09.11.2020,Plot No 393  Main Road  Anna Nagar  MADURAI 625020,0452-2532995,annanagarmadurai@indianbank.co.in,Coimbatore,Madurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Kochadai ,K225,Kochadai,K725,Kochadai ,K225,IB,20.10.2020,IDIB000K225,20.10.2020,"2/3 G V TOWERS,I FLOOR    MELAKKAL MAIN ROAD,NATARAJA NAGAR   KOCHADAI    MADURAI 625016",0452 2383328,kochadai@indianbank.co.in,Coimbatore,Madurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Madurai Main,M004,Madurai,M532,Madurai Main,M004,IB,07.12.2020,IDIB000M004,07.12.2020,100 AND 101 East Avani Moola St.  MADURAI  625001,04522322563,maduraimain@indianbank.co.in,Coimbatore,Madurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Dindigul,D018,Dindigul,D647,Dindigul,D018,IB,20.04.2021,IDIB000D018,20.04.2021,"No.9,Chatram Street,DINDIGUL   624001",0451-2435072,dindugal@indianbank.co.in,Coimbatore,Madurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,TVS Nagar,T075,TVS Nagar,T501,TVS Nagar,T075,IB,18.04.2021,IDIB000T075,18.04.2021,"31 RAMS APARTMENTS, POONGA ROAD, SATHYA SAI NAGAR, TVS NAGAR, MADURAI 625003 ",0452-2692908,tvsnagar@indianbank.co.in,Coimbatore,Madurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Erode ,E008,Erode,E510,Erode ,E008,IB,02.11.2020,IDIB000E008,02.11.2020,"P B No 1, 9 GANDHIJI ROAD ERODE GANDHIJI ROAD ERODE 638001",0424-2241432,erode@indianbank.co.in,Coimbatore,Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Namakkal ,N011,Namakkal,N530,Namakkal ,N011,IB,02.11.2020,IDIB000N011,02.11.2020,"31, Rangar Sannadhi Street NAMAKKAL TAMILNADU 637001",04286 221259,namakkal@indianbank.co.in,Coimbatore,Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Nagercoil,N006,Nagercoil,N512,Nagercoil,N006,IB,04.11.2020,IDIB000N006,04.11.2020,"165, Women`s Christian -College Road Nagercoil    KANYAKUMARI 629001",04652-231387,nagercoil@indianbank.co.in ,Coimbatore,Tirunelveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Tuticorin ,T058,Tuticorin,T568,Tuticorin ,T058,IB,02.11.2020,IDIB000T058,02.11.2020,"64, FIRST FLOOR BEACH ROAD  TUTICORIN   THOOTHUKUDI 628001",0461-2320451,tuticorin@indianbank.co.in,Coimbatore,Tirunelveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Maharajanagar ,M303,Tirunelveli,T591,Maharajanagar ,M303,IB,29.10.2020,IDIB000M303,29.10.2020,"D NO 568,ST THOMAS ROAD,MAHARAJA NAGAR, TIRUNELVELI 627007",0462 2531945,maharajanagar@indianbank.co,Coimbatore,Tirunelveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Karur ,K027,Karur,K613,Karur ,K027,IB,10.11.2020,IDIB000K027,10.11.2020,"NO. 53, GROUND FLOOR, 80 FEET ROAD, KARUR 639002",04324-235237,karur@indianbank.co.in,Coimbatore,Trichy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Thillai Nagar,T017,Trichy Annamalai Nagar,T605,Thillai Nagar,T017,IB,10.11.2020,IDIB000T017,10.11.2020,"NO.C 40, THIRD CROSS EAST, THILLAINAGAR,TIRUCHIRAPPALLI- 620018",0431 2762585,thillainagar@indianbank.co.in,Coimbatore,Trichy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Chandni Chowk ,C010,Chandni Chowk,C541,Chandni Chowk ,C010,IB,03.10.2020,IDIB000C010,03.10.2020,"4789 Main Road, Chandni Chowk, DELHI, Near Ballimaran Gali, CENTRAL DELHI, 110006 ",011-45626559,chandnichowk@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Karol Bagh,K023,Karol Bagh,K608,Karol Bagh,K023,IB,30.09.2020,IDIB000K023,30.09.2020,"10223, Gurudwara Road,NEAR BIKANERWALA NAIWALA, Karol Bagh, NEW DELHI 110005",011-28755821,karolbagh@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Mangolpuri,M269,Mangolpur kalan,M611,Mangolpur kalan,M611,eAB,26.10.2020,IDIB000M611,26.10.2020,"NEW DELHI, 399, BHIM BHAVAN, MARBEL MARKET, MANGOLPURI KALAN,DELHI - 110083",01127922597,MANGOLPURIKALAN@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Matiala,M332,Matiala,M663,Matiala,M663,eAB,23.10.2020,IDIB000M663,23.10.2020,"NEAR DPS SCHOOL, KHASRA NO. 31/21, PLOT NO. 2 MATIALA, DWARKA SOUTH WEST DELHI DELHI 110059
",01125332101,M663@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Vishnu Garden,V136,Vishnu Garden,V540,Vishnu Garden,V136,IB,26.10.2020,IDIB000V136,26.10.2020,"N-89, SHYAM NAGAR, SHEETALA MATA MANDIR ROAD, VISHNU GARDEN, VISHNU NAGAR, DELHI 110018 ",011 25985009,vishnu.garden@indianbank.co.in ,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Mayur Vihar,M102,Mayur Vihar,A534,Mayur Vihar,M102,IB,15.03.2021,IDIB000M102,15.03.2021,"33, Pratap NagarMayur Vihar Phase I,DelhiMayur Vihar Phase I,DELHI 110091",011-22757391,mayurvihar@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Gujrawala Town,G078,Gujrawala Town,G637,Gujrawala Town,G078,IB,15.03.2021,IDIB000G078,15.03.2021,A - 54 GUJRANWALA TOWN  PART I DELHI 110009,011-27468803,gujranwalatown@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Kirti Nagar,K181,Kirti Nagar,K719,Kirti Nagar,K181,IB,15.03.2021,IDIB000K181,15.03.2021,"C - 66,KIRTI NAGAR NEW DELHI 110015",011 25195213,kirtinagar@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Punjabi Bagh,P163,Punjabi Bagh,P681,Punjabi Bagh,P163,IB,15.03.2021,IDIB000P163,15.03.2021,"53, WEST AVENUE ROAD,PUNJABI BAGH WEST NEW DELHI     110026",011 25221721,punjabibagh@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Ashok Vihar,A124,Ashok Vihar,A664,Ashok Vihar,A124,IB,15.03.2021,IDIB000A124,15.03.2021,"C-1/19, Ashok Vihar     Phase II Delhi  110052",011-27411134,ashokvihar@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Laxmi Nagar,L024,Laxmi Nagar,L543,Laxmi Nagar,L543,eAB,15.03.2021,IDIB000L543,15.03.2021,"PRIYADARSHINI VIHAR, A-11, GROUND FLOOR, PRIYADARSHINI VIHAR LAXMINAGAR, DELHI- 110092",01122540694,LAXMINAGAR.DELHI@indianbank.co.in,Delhi,Delhi (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Ballabhgarh,B137,Ballabhgarh,B576,Ballabhgarh,B137,IB,01.10.2020,IDIB000B137,01.10.2020,"MCF-4,100 FEET ROAD  CHAWLA COLONY           OPPOSITE POST OFFICE     BALLABGARH    FARIDABAD 121004",0129 2211471,ballabhgarh@indianbank.co.in,Delhi,Delhi South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Jasola,J037,Jasola,J581,Jasola,J033,IB,11.11.2020,IDIB000J033,11.11.2020,"52, GROUND FLOOR, POCKET II, JASOLA VIHAR, SOUTH EAST DELHI- 110025",011-29947698,jasola@indianbank.co.in,Delhi,Delhi South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"Sector 29, Faridabad",S244,Fariadabad Old,F507,Fariadabad Old,F507,eAB,25.09.2020,IDIB000F507,25.09.2020,"MAIN MARKET , OLD FARIDABAD, 1087 C PURAN ENCLAVE FARIDABAD MAIN MARKET, HARYANA- 121002",01292500149,FARIDABADOLD@indianbank.co.in ,Delhi,Delhi South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"Sector 37, Faridabad",B002,"Sector 37, Faridabad",S605,"Sector 37, Faridabad",B002,IB,24.09.2020,IDIB000B002,24.09.2020,"SCF-153 ,HUDA MARKET        SECTOR-37     AMAR NAGAR PO       FARIDABAD 121003",0129-2275836,sector37faridabad@indianbank.co.in,Delhi,Delhi South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Sector 4, Gurgaon",S267,Gurgaon,G654,Gurgaon,G654,eAB,23.09.2020,IDIB000G654,23.09.2020,"565,RAILWAY ROAD, NEAR SECTOR 4-7 CROSSING, GURGAON, HARYANA, RAILWAY ROAD, GURGAON, HARYANA - 122001 
",01242251938,GURGAON.G654@indianbank.co.in,Delhi,Delhi South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Sector 48, Gurgaon",S285,Sohna Road Gurgaon,S746,Sohna Road Gurgaon,S746,eAB,25.09.2020,IDIB000S746,25.09.2020,"SECTOR 49, MAIN SOHNA ROAD, NINEX CITY MART SHOP NO. 26,27,28 SECTOR 49, GURGAON 122001",01242218428 ,SOHNAROAD@indianbank.co.in,Delhi,Delhi South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"SME New Delhi, Tugalakabad",,Tugalakabad,,Tugalakabad,T611,,,IDIB000T611 ,12.05.2021,"TA-193, GURU RAVIDAS MARG, TUGHLAKABAD EXTENSION,GURU RAVI DAS MARG, ALAKNANDA, SOUTH DELHI - 110019 ",01129980408 ,TUGHLAKABAD@indianbank.co.in,Delhi,Delhi South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"Shahdra, Krishna Nagar",S157,Krishna Nagar,K810,"Shahdra, Krishna Nagar",S157,IB,12.11.2020,IDIB000S157,12.11.2020,C-42 MAIN ROAD      KRISHNA NAGAR       OPP. SWARAN CINEMA   DELHI 110051,011-22099232,shahdara@indianbank.co.in,Delhi,Delhi South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Faridabad Main,,NIT Faridabad,,NIT Faridabad,N604,,,IDIB000N604,11.06.2021,"54,GOVIND BHAWAN ,NIT ,FARIDABAD, HARYANA-121001",1294895566,FARIDABAD.N604@indianbank.co.in,DELHI,DELHI SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Beawar,B195,Beawar,B705,Beawar,B705,eAB,26.08.2020,IDIB000B705,26.08.2020,"STATE ; RAJASHTHAN, PIN ; 305901, VAISHNAVAI MARKET, OPP. OM SHANTI OM GARDEN, AJMER ROAD, BEAWAR 305901",01462252233,BEAWAR.B705@indianbank.co.in,Delhi,Udaipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Gonda-1,,Gonda Mankapur Bus stand,,Gonda-1,G087,,,IDIB000G087,19.07.2021,"CP -108,SAURABH COMPLEX ,CIRCULAR ROAD,AWAS VIKAS COLONY,GONDA ,UTTAR PRADESH -271002 ",5262228223,gonda@indianbank.co.in,GONDA,LUCKNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
